#(m)z	t(yr)	dT(C)
0	0	0.00
1	17	0.00
2	35	0.00
3	53	0.00
4	72	0.00
5	91	0.00
6	110	0.00
7	129	0.00
8	149	-0.81
9	170	0.02
10	190	0.36
11	211	-0.95
12	234	-1.84
13	258	-1.09
14	281	-0.75
15	304	-0.22
16	327	-0.48
17	351	-0.75
18	375	0.23
19	397	1.33
20	420	0.35
21	444	0.18
22	469	-0.08
23	495	-1.08
24	523	-1.39
25	552	-1.61
26	581	-0.90
27	609	-0.60
28	637	-0.02
29	665	-0.18
30	695	-1.23
31	726	-1.54
32	757	-0.85
33	788	-0.10
34	817	-0.17
35	848	-0.78
36	881	-0.78
37	912	-0.17
38	944	-0.25
39	976	-0.28
40	1009	-0.81
41	1042	-0.05
42	1074	0.27
43	1107	-0.83
44	1142	-0.65
45	1176	-0.27
46	1211	-0.65
47	1247	-1.48
48	1285	-1.64
49	1321	-0.40
50	1356	0.33
51	1390	-0.05
52	1426	-0.13
53	1461	-0.03
54	1497	-0.46
55	1535	-1.00
56	1573	-0.96
57	1612	-1.33
58	1652	-1.51
59	1692	-0.88
60	1732	-1.06
61	1772	-1.21
62	1812	-1.24
63	1853	-0.96
64	1893	-0.53
65	1931	0.15
66	1970	-0.28
67	2009	-0.45
68	2049	-0.38
69	2089	-0.53
70	2129	-0.61
71	2171	-0.95
72	2212	-0.73
73	2253	0.12
74	2291	1.16
75	2331	-0.98
76	2374	-1.44
77	2418	-0.73
78	2460	-0.63
79	2501	0.30
80	2542	-0.27
81	2585	-1.36
82	2628	-0.17
83	2670	-0.02
84	2713	-1.19
85	2760	-1.97
86	2805	-0.61
87	2847	0.58
88	2889	-0.38
89	2934	-1.34
90	2980	-1.41
91	3026	-0.73
92	3070	-0.25
93	3114	-0.53
94	3158	-0.08
95	3201	0.15
96	3245	-0.43
97	3289	-0.61
98	3334	-0.30
99	3379	-0.13
100	3422	0.22
101	3466	0.17
102	3511	-0.91
103	3558	-0.90
104	3603	0.30
105	3646	0.65
106	3689	0.58
107	3732	0.03
108	3778	-0.63
109	3824	-0.46
110	3870	0.00
111	3915	-0.23
112	3962	-0.66
113	4009	-0.73
114	4057	-0.75
115	4104	-0.91
116	4153	-1.09
117	4202	-1.00
118	4250	-0.53
119	4295	0.55
120	4339	1.13
121	4381	1.13
122	4423	1.13
123	4466	1.13
124	4509	1.13
125	4552	0.88
126	4596	0.20
127	4642	-0.33
128	4690	-0.88
129	4739	-0.58
130	4786	0.25
131	4831	0.00
132	4880	-1.14
133	4929	-0.66
134	4977	-0.36
135	5025	-0.66
136	5072	0.13
137	5118	0.18
138	5165	-0.38
139	5212	-0.22
140	5259	0.28
141	5305	0.10
142	5351	0.08
143	5397	0.50
144	5442	0.50
145	5488	0.20
146	5534	0.02
147	5581	0.08
148	5627	0.03
149	5674	-0.06
150	5721	-0.15
151	5769	-0.25
152	5816	-0.22
153	5863	0.15
154	5909	0.45
155	5955	-0.13
156	6004	-0.73
157	6052	-0.21
158	6099	0.32
159	6145	-0.17
160	6193	-0.33
161	6241	0.09
162	6287	0.28
163	6334	-0.55
164	6385	-1.59
165	6436	-1.09
166	6486	-0.31
167	6534	-0.62
168	6583	-0.65
169	6631	0.37
170	6677	0.37
171	6724	-0.36
172	6773	-0.84
173	6823	-1.28
174	6874	-1.14
175	6924	-0.58
176	6973	-0.59
177	7023	-1.05
178	7074	-1.20
179	7124	-0.63
180	7172	0.02
181	7220	-0.04
182	7267	-0.11
183	7315	-0.29
184	7364	-0.81
185	7413	-0.58
186	7462	0.02
187	7509	-0.03
188	7555	0.48
189	7602	-0.02
190	7649	0.02
191	7697	-0.04
192	7745	-0.72
193	7794	-0.57
194	7844	-0.90
195	7894	-0.93
196	7944	-0.69
197	7994	-0.54
198	8043	-0.64
199	8091	0.30
200	8135	2.06
201	8178	0.59
202	8226	-0.87
203	8276	-0.78
204	8325	-0.55
205	8374	-0.21
206	8422	-0.26
207	8471	-0.52
208	8520	-0.65
209	8569	-0.68
210	8619	-0.73
211	8668	-0.56
212	8716	0.34
213	8763	0.13
214	8811	-0.81
215	8861	-0.53
216	8910	-0.54
217	8960	-0.88
218	9009	-0.48
219	9058	-0.41
220	9107	-0.60
221	9156	-0.51
222	9204	-0.13
223	9252	0.26
224	9298	0.03
225	9346	-0.39
226	9396	-0.82
227	9445	-0.70
228	9494	-0.16
229	9542	-0.16
230	9589	0.43
231	9635	0.51
232	9682	-0.46
233	9732	-0.80
234	9782	-0.85
235	9831	-0.74
236	9881	-0.36
237	9929	-0.37
238	9978	-0.65
239	10027	-0.28
240	10075	-0.47
241	10124	-0.58
242	10172	0.31
243	10218	0.52
244	10265	-0.18
245	10315	-1.30
246	10366	-0.97
247	10415	-0.43
248	10465	-0.76
249	10515	-0.77
250	10564	-0.79
251	10614	-0.90
252	10665	-0.96
253	10715	-0.70
254	10764	-0.26
255	10812	-0.44
256	10861	-0.62
257	10910	-0.15
258	10957	-0.12
259	11005	-0.23
260	11053	0.02
261	11100	0.09
262	11146	0.74
263	11191	0.81
264	11237	-0.18
265	11286	-0.48
266	11334	-0.27
267	11383	-0.73
268	11434	-1.22
269	11485	-1.29
270	11537	-1.57
271	11590	-1.59
272	11642	-1.61
273	11695	-1.83
274	11749	-2.20
275	11805	-2.37
276	11861	-2.85
277	11918	-2.55
278	11973	-2.19
279	12029	-2.84
280	12087	-3.09
281	12144	-2.77
282	12202	-2.90
283	12261	-3.88
284	12323	-4.18
285	12385	-3.96
286	12446	-3.61
287	12507	-3.76
288	12569	-4.25
289	12632	-4.25
290	12694	-3.91
291	12755	-3.57
292	12815	-3.24
293	12874	-3.40
294	12934	-3.50
295	12994	-3.67
296	13055	-3.85
297	13116	-3.75
298	13177	-3.72
299	13237	-3.45
300	13296	-3.17
301	13355	-3.17
302	13414	-3.67
303	13476	-4.28
304	13539	-4.02
305	13600	-3.57
306	13659	-3.27
307	13718	-2.91
308	13774	-2.19
309	13828	-2.04
310	13883	-2.24
311	13938	-2.06
312	13992	-2.32
313	14048	-2.57
314	14105	-2.83
315	14163	-3.08
316	14221	-3.34
317	14281	-3.60
318	14342	-3.85
319	14404	-4.11
320	14466	-3.64
321	14526	-3.82
322	14589	-4.34
323	14651	-3.98
324	14713	-3.92
325	14775	-4.14
326	14839	-4.52
327	14904	-4.68
328	14968	-4.44
329	15032	-4.66
330	15099	-5.32
331	15167	-5.40
332	15234	-5.00
333	15300	-4.81
334	15366	-4.74
335	15432	-5.15
336	15501	-5.71
337	15570	-5.60
338	15639	-5.44
339	15708	-5.57
340	15777	-5.29
341	15845	-5.35
342	15915	-6.19
343	15987	-5.99
344	16057	-5.75
345	16128	-6.08
346	16201	-6.34
347	16275	-6.74
348	16350	-6.88
349	16426	-6.88
350	16502	-6.74
351	16577	-6.77
352	16653	-6.97
353	16729	-7.16
354	16808	-7.49
355	16889	-8.33
356	16974	-8.51
357	17058	-8.04
358	17139	-7.60
359	17219	-7.53
360	17298	-7.45
361	17379	-8.09
362	17462	-8.27
363	17544	-7.68
364	17625	-7.78
365	17706	-7.84
366	17787	-7.82
367	17868	-7.72
368	17949	-7.75
369	18031	-8.19
370	18116	-8.63
371	18201	-8.16
372	18283	-7.89
373	18365	-7.74
374	18446	-7.97
375	18530	-8.50
376	18615	-8.43
