# Pb	Log(Pb)
37.5	1.574031
70	1.845098
30	1.477121
30	1.477121
83	1.919078
40.5	1.607455
80	1.90309
40	1.60206
83.333	1.920817
30	1.477121
90.5	1.956649
52	1.716003
25	1.39794
43.5	1.638489
36	1.556303
22	1.342423
45	1.653213
25	1.39794
30	1.477121
34	1.531479
28	1.447158
32	1.50515
31.5	1.498311
30	1.477121
32	1.50515
65	1.812913
80	1.90309
48.5	1.685742
40	1.60206
40	1.60206
60	1.778151
82	1.913814
35	1.544068
85	1.929419
110	2.041393
40	1.60206
40	1.60206
75	1.875061
50	1.69897
30	1.477121
54	1.732394
25	1.39794
47	1.672098
70	1.845098
47.5	1.676694
78	1.892095
38.5	1.585461
35	1.544068
47	1.672098
27	1.431364
20	1.30103
34	1.531479
38	1.579784
19	1.278754
65	1.812913
31	1.491362
50	1.69897
25	1.39794
50	1.69897
100	2
36	1.556303
140	2.146128
74	1.869232
34	1.531479
48	1.681241
40	1.60206
17	1.230449
74	1.869232
74	1.869232
72	1.857332
150	2.176091
70	1.845098
30	1.477121
90	1.954243
22	1.342423
75.5	1.877947
50	1.69897
34	1.531479
30	1.477121
80	1.90309
21.5	1.332438
100	2
105	2.021189
30	1.477121
30	1.477121
65	1.812913
33	1.518514
27	1.431364
100	2
20	1.30103
110	2.041393
25	1.39794
21.5	1.332438
45	1.653213
27	1.431364
22	1.342423
30	1.477121
58.5	1.767156
38.75	1.588272
30	1.477121
67.5	1.829304
20	1.30103
31	1.491362
25	1.39794
95	1.977724
67.5	1.829304
19	1.278754
22.5	1.352183
75	1.875061
50	1.69897
52	1.716003
20	1.30103
38	1.579784
80	1.90309
30	1.477121
60	1.778151
23.5	1.371068
35	1.544068
20	1.30103
112.5	2.051153
30.5	1.4843
40	1.60206
132.5	2.122216
45	1.653213
30	1.477121
48	1.681241
23.5	1.371068
52	1.716003
30	1.477121
40	1.60206
30	1.477121
77.5	1.889302
89.5	1.951823
33	1.518514
70	1.845098
16	1.20412
78	1.892095
40	1.60206
70	1.845098
100	2
130	2.113943
53.5	1.728354
52	1.716003
38	1.579784
30	1.477121
110	2.041393
30	1.477121
71	1.851258
65	1.812913
32	1.50515
45	1.653213
30	1.477121
40	1.60206
70	1.845098
80	1.90309
70	1.845098
38.5	1.585461
19	1.278754
720	2.857332
120	2.079181
25	1.39794
40	1.60206
33	1.518514
35	1.544068
20	1.30103
30	1.477121
57.5	1.759668
51	1.70757
100	2
30	1.477121
29.5	1.469822
40	1.60206
38	1.579784
57	1.755875
54	1.732394
57	1.755875
64	1.80618
44	1.643453
41	1.612784
36	1.556303
45	1.653213
34	1.531479
28	1.447158
56	1.748188
58	1.763428
60	1.778151
47	1.672098
44	1.643453
58	1.763428
71	1.851258
67	1.826075
71	1.851258
51	1.70757
57	1.755875
75	1.875061
59	1.770852
79	1.897627
48	1.681241
60	1.778151
53	1.724276
45	1.653213
66	1.819544
15	1.176091
45	1.653213
21	1.322219
18	1.255273
42	1.623249
57	1.755875
16	1.20412
56	1.748188
30	1.477121
52	1.716003
59	1.770852
57	1.755875
58	1.763428
47	1.672098
49	1.690196
55	1.740363
20	1.30103
71	1.851258
36	1.556303
44	1.643453
67	1.826075
44	1.643453
32	1.50515
23	1.361728
38	1.579784
67	1.826075
71	1.851258
171	2.232996
16	1.20412
92	1.963788
9	0.954243
55	1.740363
39	1.591065
54	1.732394
19	1.278754
53	1.724276
38	1.579784
37	1.568202
12	1.079181
12	1.079181
77	1.886491
52	1.716003
56	1.748188
29	1.462398
28	1.447158
16	1.20412
55	1.740363
46	1.662758
42	1.623249
65	1.812913
43	1.633468
49	1.690196
83	1.919078
31	1.491362
26	1.414973
36	1.556303
220	2.342423
51	1.70757
63	1.799341
68	1.832509
51	1.70757
49	1.690196
76	1.880814
38	1.579784
55	1.740363
45	1.653213
36	1.556303
37	1.568202
37	1.568202
35	1.544068
37.5	1.574031
30.5	1.4843
