# Modes from peak histogram of pac_topo.txt as function of histogram widths
# width mode count
1 -5156.5 25
2 -5173 38
3 -5173.5 53
4 -5174 63
5 -5157.5 83
6 -5157 97
7 -5156.5 117
8 -5156 126
9 -5158.5 137
10 -5155 147
11 -5158.5 166
12 -5154 175
13 -5161.5 186
14 -5153 193
15 -5152.5 207
16 -5160 231
17 -5158.5 250
18 -5163 248
19 -5173.5 255
20 -5170 263
21 -5170.5 279
22 -5175 297
23 -5160.5 324
24 -5172 318
25 -5162.5 346
26 -5181 326
27 -5176.5 373
28 -5174 386
29 -5173.5 401
30 -5175 414
31 -5178.5 416
32 -5184 394
33 -5158.5 411
34 -5167 441
35 -5177.5 478
36 -5154 420
37 -5167.5 470
38 -5183 488
39 -5161.5 480
40 -5180 527
41 -5159.5 494
42 -5181 549
43 -5161.5 520
44 -5186 557
45 -5167.5 554
46 -5195 523
47 -5177.5 599
48 -5160 561
49 -5191.5 600
50 -5175 633
51 -5158.5 582
52 -5194 615
53 -5178.5 661
54 -5163 619
55 -5202.5 604
56 -5188 681
57 -5173.5 690
58 -5159 641
59 -5203.5 654
60 -5190 714
61 -5176.5 746
62 -5163 683
63 -5212.5 651
64 -5200 736
65 -5187.5 771
66 -5175 785
67 -5162.5 715
68 -5218 690
69 -5206.5 770
70 -5195 797
71 -5183.5 832
72 -5172 802
73 -5160.5 738
74 -5223 749
75 -5212.5 813
76 -5202 840
77 -5191.5 883
78 -5181 889
79 -5170.5 834
80 -5160 790
81 -5230.5 797
82 -5221 863
83 -5211.5 887
84 -5202 918
85 -5192.5 952
86 -5183 950
87 -5173.5 917
88 -5164 862
89 -5243.5 815
90 -5235 890
91 -5226.5 941
92 -5218 971
93 -5209.5 987
94 -5201 1014
95 -5192.5 1024
96 -5184 1008
97 -5175.5 997
98 -5167 937
99 -5158.5 915
100 -5250 913
101 -5242.5 1000
102 -5235 1025
103 -5227.5 1057
104 -5220 1080
105 -5212.5 1096
106 -5205 1101
107 -5197.5 1108
108 -5190 1107
109 -5182.5 1093
110 -5175 1077
111 -5167.5 1053
112 -5160 1020
113 -5152.5 986
114 -5259 1040
115 -5252.5 1105
116 -5246 1128
117 -5239.5 1170
118 -5233 1188
119 -5226.5 1209
120 -5220 1215
121 -5213.5 1207
122 -5207 1204
123 -5200.5 1205
124 -5194 1198
125 -5187.5 1218
126 -5181 1231
127 -5174.5 1211
128 -5168 1195
129 -5161.5 1165
130 -5155 1120
131 -5279.5 1109
132 -5274 1170
133 -5268.5 1219
134 -5263 1243
135 -5257.5 1276
136 -5252 1301
137 -5246.5 1335
138 -5241 1349
139 -5235.5 1359
140 -5230 1358
141 -5224.5 1359
142 -5219 1356
143 -5213.5 1339
144 -5208 1352
145 -5202.5 1369
146 -5197 1383
147 -5191.5 1405
148 -5186 1409
149 -5180.5 1399
150 -5175 1387
151 -5169.5 1346
152 -5164 1321
153 -5158.5 1282
154 -5153 1232
155 -5302.5 1268
156 -5298 1310
157 -5293.5 1347
158 -5289 1354
159 -5284.5 1399
160 -5280 1427
161 -5275.5 1460
162 -5271 1485
163 -5266.5 1503
164 -5262 1512
165 -5257.5 1522
166 -5253 1523
167 -5248.5 1544
168 -5244 1548
169 -5239.5 1548
170 -5235 1553
171 -5230.5 1575
172 -5226 1586
173 -5221.5 1590
174 -5217 1613
175 -5212.5 1607
176 -5208 1609
177 -5203.5 1609
178 -5199 1619
179 -5194.5 1617
180 -5190 1622
181 -5185.5 1594
182 -5181 1588
183 -5176.5 1576
184 -5172 1540
185 -5167.5 1515
186 -5163 1489
187 -5158.5 1471
188 -5342 1436
189 -5338.5 1477
190 -5335 1510
